epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
8,1.407914,0.704958,1.554765,0.671578,0.00481160,0.00000000,0.083526,0.000000,147.61
9,1.346130,0.714968,1.514882,0.675553,0.00474476,0.00000000,0.081850,0.000000,146.83
10,1.294207,0.724914,1.487127,0.675940,0.00466841,0.00000000,0.080325,0.000000,144.94
11,1.250562,0.732180,1.461322,0.680690,0.00458289,0.00000000,0.079255,0.000000,145.95
12,1.212897,0.738951,1.442097,0.687379,0.00448855,0.00000000,0.078174,0.000000,145.09
13,1.179439,0.744548,1.425180,0.688251,0.00438580,0.00000000,0.077194,0.000000,147.57
14,1.150381,0.750694,1.411713,0.689221,0.00427509,0.00000000,0.076591,0.000000,152.48
15,1.124010,0.755603,1.400428,0.690481,0.00415688,0.00000000,0.075592,0.000000,145.97
16,1.100352,0.760586,1.391889,0.691838,0.00403168,0.00000000,0.075051,0.000000,146.69
17,1.078652,0.763913,1.381019,0.694940,0.00390004,0.00000000,nan,0.000000,145.34
18,1.059284,0.768832,1.375118,0.692323,0.00376250,0.00000000,0.073621,0.000000,145.50
19,1.041472,0.772212,1.366833,0.696103,0.00361966,0.00000000,0.073225,0.000000,145.14
20,1.025127,0.775635,1.361602,0.697557,0.00347214,0.00000000,nan,0.000000,147.08
21,1.009999,0.778627,1.355591,0.699011,0.00332056,0.00000000,nan,0.000000,147.96
22,0.995985,0.782039,1.352559,0.700853,0.00316558,0.00000000,0.071671,0.000000,147.17
23,0.983484,0.784440,1.347684,0.700756,0.00300785,0.00000000,0.071353,0.000000,149.52
24,0.971550,0.787486,1.345174,0.701725,0.00284805,0.00000000,0.071009,0.000000,144.99
25,0.960825,0.790080,1.340908,0.700271,0.00268687,0.00000000,0.070742,0.000000,145.80
26,0.950833,0.792050,1.339021,0.703276,0.00252500,0.00000000,nan,0.000000,144.30
27,0.941325,0.794741,1.337103,0.701435,0.00236313,0.00000000,0.070179,0.000000,147.90
28,0.933001,0.796495,1.336065,0.700078,0.00220195,0.00000000,0.069684,0.000000,147.10
29,0.925048,0.797475,1.332934,0.701435,0.00204215,0.00000000,nan,0.000000,145.01
30,0.918155,0.799649,1.330555,0.700853,0.00188442,0.00000000,0.069283,0.000000,145.93
31,0.911336,0.801619,1.329564,0.702598,0.00172944,0.00000000,0.068972,0.000000,146.78
32,0.905653,0.802555,1.327948,0.701822,0.00157786,0.00000000,0.068865,0.000000,147.02
33,0.900092,0.803944,1.326392,0.703373,0.00143034,0.00000000,0.068591,0.000000,150.80
34,0.895023,0.805257,1.325592,0.704537,0.00128750,0.00000000,nan,0.000000,146.73
35,0.890590,0.805968,1.324667,0.704246,0.00114996,0.00000000,0.068334,0.000000,146.02
36,0.886413,0.807733,1.324657,0.705021,0.00101832,0.00000000,0.068160,0.000000,147.68
37,0.882890,0.808099,1.323062,0.704537,0.00089312,0.00000000,nan,0.000000,148.00
38,0.879669,0.808917,1.322588,0.704827,0.00077491,0.00000000,0.067912,0.000000,146.22
39,0.876826,0.810058,1.321998,0.704052,0.00066420,0.00000000,0.067577,0.000000,146.90
40,0.874249,0.810639,1.321744,0.704440,0.00056145,0.00000000,nan,0.000000,146.06
41,0.872123,0.811296,1.321310,0.704440,0.00046711,0.00000000,0.067748,0.000000,146.92
42,0.870231,0.811748,1.321107,0.704634,0.00038159,0.00000000,nan,0.000000,145.21
43,0.868617,0.812049,1.320889,0.705312,0.00030524,0.00000000,0.067545,0.000000,144.06
44,0.867280,0.812523,1.320682,0.704537,0.00023840,0.00000000,0.067456,0.000000,144.96
45,0.866159,0.813018,1.320571,0.705021,0.00018135,0.00000000,0.067468,0.000000,146.29
