class_idx,accuracy,n_samples
307,0.750000,20
308,0.952381,21
309,0.714286,21
310,0.700000,20
311,0.666667,21
312,0.285714,21
313,0.666667,21
314,0.850000,20
315,0.619048,21
316,0.666667,21
317,0.809524,21
318,0.952381,21
319,0.900000,20
320,0.761905,21
321,0.428571,21
322,0.800000,20
323,0.850000,20
324,0.750000,20
325,0.800000,20
326,0.400000,20
327,0.428571,21
328,0.809524,21
329,0.850000,20
330,0.857143,21
331,0.380952,21
332,0.600000,20
333,0.650000,20
334,0.550000,20
335,0.714286,21
336,0.619048,21
337,0.285714,21
338,0.450000,20
339,0.809524,21
340,0.904762,21
341,0.700000,20
342,0.571429,21
343,0.523810,21
344,0.650000,20
345,0.761905,21
346,0.900000,20
347,0.238095,21
348,0.809524,21
349,0.476190,21
350,0.700000,20
351,0.761905,21
352,0.714286,21
353,0.619048,21
354,0.857143,21
355,0.857143,21
356,0.850000,20
357,0.750000,20
358,0.476190,21
359,0.900000,20
360,0.666667,21
361,0.650000,20
362,0.900000,20
363,0.380952,21
364,0.500000,20
365,0.238095,21
366,0.571429,21
367,0.800000,20
368,0.666667,21
369,0.619048,21
370,0.761905,21
371,0.550000,20
372,0.857143,21
373,0.600000,20
374,0.666667,21
375,0.700000,20
376,0.666667,21
377,0.400000,20
378,0.450000,20
379,0.476190,21
380,0.571429,21
381,0.761905,21
382,0.809524,21
383,0.476190,21
384,0.700000,20
385,0.476190,21
386,0.600000,20
387,0.850000,20
388,0.523810,21
389,0.700000,20
390,0.476190,21
391,0.714286,21
392,0.428571,21
393,0.950000,20
394,0.238095,21
395,0.904762,21
396,0.300000,20
397,0.650000,20
398,0.428571,21
399,0.666667,21
400,0.523810,21
401,0.857143,21
402,0.900000,20
403,1.000000,21
404,0.800000,20
405,0.571429,21
406,0.904762,21
407,0.450000,20
408,0.428571,21
409,0.400000,20
410,0.809524,21
411,0.761905,21
412,0.428571,21
413,0.666667,21
414,0.380952,21
415,0.714286,21
416,0.666667,21
417,0.809524,21
418,0.761905,21
419,0.619048,21
420,0.476190,21
421,0.300000,20
422,0.428571,21
423,0.666667,21
424,0.250000,20
425,0.800000,20
426,0.761905,21
427,0.476190,21
428,0.761905,21
429,0.950000,20
430,0.750000,20
431,0.904762,21
432,0.666667,21
433,0.809524,21
434,0.500000,20
435,0.952381,21
436,0.476190,21
437,0.619048,21
438,0.619048,21
439,0.476190,21
440,0.761905,21
441,0.350000,20
442,0.666667,21
443,0.666667,21
444,0.476190,21
445,0.571429,21
446,0.714286,21
447,0.952381,21
448,0.761905,21
449,1.000000,21
450,0.750000,20
451,0.619048,21
452,0.450000,20
453,0.750000,20
454,0.650000,20
455,0.619048,21
456,0.238095,21
457,0.380952,21
458,0.761905,21
459,0.904762,21
460,0.952381,21
461,0.900000,20
462,0.428571,21
463,0.190476,21
464,0.700000,20
465,0.571429,21
466,0.650000,20
467,0.238095,21
468,0.650000,20
469,0.714286,21
470,0.190476,21
471,0.650000,20
472,0.380952,21
473,0.809524,21
474,0.761905,21
475,0.857143,21
476,0.450000,20
477,0.285714,21
478,0.428571,21
479,0.333333,21
480,0.809524,21
481,0.476190,21
482,0.809524,21
483,0.250000,20
484,1.000000,21
485,0.476190,21
486,0.714286,21
487,0.600000,20
488,0.650000,20
489,0.400000,20
490,0.950000,20
491,0.650000,20
492,0.600000,20
493,0.666667,21
494,0.476190,21
495,0.857143,21
496,0.750000,20
497,0.900000,20
498,0.650000,20
499,0.750000,20
